Stock,Sector,Month,PriceStart,PriceEnd
BAJAJ-AUTO,Auto,2025-05,4526,4648
WMT,Staples,2025-04,459,541
JPM,Finance,2025-04,1731,1861
HDFC,Finance,2025-03,4931,5321
TCS,Tech,2025-03,2916,3173
MSFT,Tech,2025-05,3466,3529
HDFC,Finance,2025-03,4931,5321
HDFC,Finance,2025-02,3173,2952
TCS,Tech,2025-03,2916,3173
AAPL,Tech,2025-06,2092,1800
AAPL,Tech,2025-03,3491,3314
BAJAJ-AUTO,Auto,2025-04,4347,4803
TSLA,Auto,2025-06,4541,4909
BABA,Retail,2025-02,94,439
RELIANCE,Energy,2025-02,2760,2983
HDFC,Finance,2025-06,4414,4612
JPM,Finance,2025-02,680,451
BAJAJ-AUTO,Auto,2025-01,336,245
RELIANCE,Energy,2025-06,2462,2394
MSFT,Tech,2025-04,2493,2247
HDFC,Finance,2025-06,4414,4612
AAPL,Tech,2025-03,3491,3314
WMT,Staples,2025-04,459,541
BAJAJ-AUTO,Auto,2025-04,4347,4803
BAJAJ-AUTO,Auto,2025-01,336,245
AAPL,Tech,2025-02,4673,4693
BABA,Retail,2025-01,2860,3424
JPM,Finance,2025-01,3652,3816
HDFC,Finance,2025-02,3173,2952
HDFC,Finance,2025-01,1412,1736
RELIANCE,Energy,2025-05,1576,1461
MSFT,Tech,2025-06,624,869
AAPL,Tech,2025-06,2092,1800
AAPL,Tech,2025-01,1339,1164
BAJAJ-AUTO,Auto,2025-05,4526,4648
TSLA,Auto,2025-05,2704,3164
RELIANCE,Energy,2025-02,2760,2983
AAPL,Tech,2025-05,1570,2151
TCS,Tech,2025-02,4893,5458
TSLA,Auto,2025-01,139,491
MSFT,Tech,2025-04,2493,2247
BAJAJ-AUTO,Auto,2025-04,4347,4803
WMT,Staples,2025-03,4159,4614
HDFC,Finance,2025-05,3538,3575
RELIANCE,Energy,2025-02,2760,2983
BABA,Retail,2025-06,2753,2587
MSFT,Tech,2025-06,624,869
RELIANCE,Energy,2025-06,2462,2394
TSLA,Auto,2025-06,4541,4909
JPM,Finance,2025-06,846,1347
BABA,Retail,2025-04,1892,1956
AAPL,Tech,2025-03,3491,3314
TSLA,Auto,2025-02,1878,1861
TSLA,Auto,2025-05,2704,3164
TCS,Tech,2025-04,4107,4520
TSLA,Auto,2025-04,4223,4329
TSLA,Auto,2025-03,3652,3445
TSLA,Auto,2025-03,3652,3445
HDFC,Finance,2025-02,3173,2952
TCS,Tech,2025-04,4107,4520
JPM,Finance,2025-01,3652,3816
MSFT,Tech,2025-06,624,869
BAJAJ-AUTO,Auto,2025-02,451,295
AAPL,Tech,2025-02,4673,4693
RELIANCE,Energy,2025-06,2462,2394
TSLA,Auto,2025-01,139,491
HDFC,Finance,2025-04,3175,3241
RELIANCE,Energy,2025-01,1320,1617
HDFC,Finance,2025-05,3538,3575
WMT,Staples,2025-01,1024,1413
RELIANCE,Energy,2025-01,1320,1617
RELIANCE,Energy,2025-06,2462,2394
MSFT,Tech,2025-05,3466,3529
BABA,Retail,2025-03,2102,1873
BABA,Retail,2025-02,94,439
TCS,Tech,2025-06,1589,2086
TSLA,Auto,2025-04,4223,4329
BAJAJ-AUTO,Auto,2025-06,2864,3098
BABA,Retail,2025-02,94,439
TCS,Tech,2025-06,1589,2086
TCS,Tech,2025-01,3676,4125
RELIANCE,Energy,2025-01,1320,1617
AAPL,Tech,2025-04,1230,1663
WMT,Staples,2025-01,1024,1413
TCS,Tech,2025-01,3676,4125
AAPL,Tech,2025-03,3491,3314
RELIANCE,Energy,2025-04,4626,4388
BABA,Retail,2025-03,2102,1873
TCS,Tech,2025-02,4893,5458
TSLA,Auto,2025-05,2704,3164
WMT,Staples,2025-04,459,541
HDFC,Finance,2025-03,4931,5321
MSFT,Tech,2025-02,4186,4388
MSFT,Tech,2025-06,624,869
TSLA,Auto,2025-04,4223,4329
JPM,Finance,2025-04,1731,1861
MSFT,Tech,2025-02,4186,4388
TSLA,Auto,2025-06,4541,4909
RELIANCE,Energy,2025-02,2760,2983
BAJAJ-AUTO,Auto,2025-01,336,245
BABA,Retail,2025-04,1892,1956
MSFT,Tech,2025-01,1147,1103
WMT,Staples,2025-01,1024,1413
RELIANCE,Energy,2025-01,1320,1617
JPM,Finance,2025-05,1209,1624
MSFT,Tech,2025-01,1147,1103
AAPL,Tech,2025-01,1339,1164
MSFT,Tech,2025-02,4186,4388
TCS,Tech,2025-05,964,1199
AAPL,Tech,2025-03,3491,3314
JPM,Finance,2025-03,3466,3561
MSFT,Tech,2025-01,1147,1103
HDFC,Finance,2025-03,4931,5321
MSFT,Tech,2025-06,624,869
TSLA,Auto,2025-02,1878,1861
TCS,Tech,2025-06,1589,2086
RELIANCE,Energy,2025-05,1576,1461
BAJAJ-AUTO,Auto,2025-06,2864,3098
MSFT,Tech,2025-06,624,869
MSFT,Tech,2025-01,1147,1103
BABA,Retail,2025-04,1892,1956
MSFT,Tech,2025-04,2493,2247
TSLA,Auto,2025-05,2704,3164
WMT,Staples,2025-05,703,1263
WMT,Staples,2025-05,703,1263
RELIANCE,Energy,2025-04,4626,4388
TCS,Tech,2025-03,2916,3173
RELIANCE,Energy,2025-06,2462,2394
AAPL,Tech,2025-03,3491,3314
BABA,Retail,2025-06,2753,2587
TSLA,Auto,2025-06,4541,4909
HDFC,Finance,2025-05,3538,3575
HDFC,Finance,2025-02,3173,2952
MSFT,Tech,2025-05,3466,3529
JPM,Finance,2025-04,1731,1861
BABA,Retail,2025-06,2753,2587
BABA,Retail,2025-01,2860,3424
HDFC,Finance,2025-03,4931,5321
AAPL,Tech,2025-02,4673,4693
BAJAJ-AUTO,Auto,2025-01,336,245
RELIANCE,Energy,2025-06,2462,2394
TSLA,Auto,2025-04,4223,4329
AAPL,Tech,2025-06,2092,1800
MSFT,Tech,2025-01,1147,1103
RELIANCE,Energy,2025-06,2462,2394
AAPL,Tech,2025-05,1570,2151
TSLA,Auto,2025-01,139,491
MSFT,Tech,2025-05,3466,3529
AAPL,Tech,2025-01,1339,1164
TCS,Tech,2025-02,4893,5458
AAPL,Tech,2025-05,1570,2151
TCS,Tech,2025-06,1589,2086
RELIANCE,Energy,2025-05,1576,1461
MSFT,Tech,2025-06,624,869
WMT,Staples,2025-04,459,541
BAJAJ-AUTO,Auto,2025-01,336,245
MSFT,Tech,2025-06,624,869
AAPL,Tech,2025-05,1570,2151
TSLA,Auto,2025-05,2704,3164
MSFT,Tech,2025-01,1147,1103
BAJAJ-AUTO,Auto,2025-06,2864,3098
RELIANCE,Energy,2025-04,4626,4388
TCS,Tech,2025-03,2916,3173
MSFT,Tech,2025-04,2493,2247
MSFT,Tech,2025-06,624,869
TSLA,Auto,2025-01,139,491
HDFC,Finance,2025-05,3538,3575
BABA,Retail,2025-06,2753,2587
AAPL,Tech,2025-01,1339,1164
BAJAJ-AUTO,Auto,2025-02,451,295
AAPL,Tech,2025-01,1339,1164
RELIANCE,Energy,2025-01,1320,1617
HDFC,Finance,2025-01,1412,1736
BABA,Retail,2025-02,94,439
BAJAJ-AUTO,Auto,2025-05,4526,4648
RELIANCE,Energy,2025-04,4626,4388
RELIANCE,Energy,2025-02,2760,2983
BAJAJ-AUTO,Auto,2025-01,336,245
JPM,Finance,2025-05,1209,1624
AAPL,Tech,2025-06,2092,1800
JPM,Finance,2025-03,3466,3561
WMT,Staples,2025-04,459,541
JPM,Finance,2025-04,1731,1861
BAJAJ-AUTO,Auto,2025-02,451,295
MSFT,Tech,2025-05,3466,3529
AAPL,Tech,2025-06,2092,1800
WMT,Staples,2025-06,1416,1914
WMT,Staples,2025-04,459,541
HDFC,Finance,2025-01,1412,1736
TSLA,Auto,2025-04,4223,4329
BAJAJ-AUTO,Auto,2025-03,4817,4874
RELIANCE,Energy,2025-03,4926,5358
BAJAJ-AUTO,Auto,2025-01,336,245
TSLA,Auto,2025-05,2704,3164
RELIANCE,Energy,2025-03,4926,5358
MSFT,Tech,2025-02,4186,4388
HDFC,Finance,2025-01,1412,1736
HDFC,Finance,2025-02,3173,2952
TCS,Tech,2025-03,2916,3173
BABA,Retail,2025-04,1892,1956
TSLA,Auto,2025-06,4541,4909
WMT,Staples,2025-02,3176,2953
TCS,Tech,2025-05,964,1199
BAJAJ-AUTO,Auto,2025-06,2864,3098
RELIANCE,Energy,2025-04,4626,4388
BAJAJ-AUTO,Auto,2025-05,4526,4648
TCS,Tech,2025-02,4893,5458
JPM,Finance,2025-01,3652,3816
BABA,Retail,2025-01,2860,3424
AAPL,Tech,2025-01,1339,1164
BABA,Retail,2025-04,1892,1956
AAPL,Tech,2025-05,1570,2151
BAJAJ-AUTO,Auto,2025-02,451,295
JPM,Finance,2025-06,846,1347
HDFC,Finance,2025-01,1412,1736
RELIANCE,Energy,2025-01,1320,1617
WMT,Staples,2025-02,3176,2953
JPM,Finance,2025-04,1731,1861
MSFT,Tech,2025-01,1147,1103
BABA,Retail,2025-05,2388,2448
RELIANCE,Energy,2025-06,2462,2394
BABA,Retail,2025-04,1892,1956
BABA,Retail,2025-03,2102,1873
AAPL,Tech,2025-06,2092,1800
JPM,Finance,2025-06,846,1347
RELIANCE,Energy,2025-04,4626,4388
WMT,Staples,2025-05,703,1263
TCS,Tech,2025-06,1589,2086
RELIANCE,Energy,2025-01,1320,1617
MSFT,Tech,2025-02,4186,4388
BAJAJ-AUTO,Auto,2025-05,4526,4648
BAJAJ-AUTO,Auto,2025-06,2864,3098
MSFT,Tech,2025-06,624,869
TSLA,Auto,2025-06,4541,4909
TSLA,Auto,2025-03,3652,3445
BABA,Retail,2025-04,1892,1956
BABA,Retail,2025-06,2753,2587
TSLA,Auto,2025-04,4223,4329
TCS,Tech,2025-03,2916,3173
AAPL,Tech,2025-05,1570,2151
MSFT,Tech,2025-01,1147,1103
TSLA,Auto,2025-01,139,491
HDFC,Finance,2025-02,3173,2952
BABA,Retail,2025-06,2753,2587
HDFC,Finance,2025-01,1412,1736
BABA,Retail,2025-03,2102,1873
BAJAJ-AUTO,Auto,2025-05,4526,4648
JPM,Finance,2025-01,3652,3816
TSLA,Auto,2025-03,3652,3445
MSFT,Tech,2025-03,4502,4441
MSFT,Tech,2025-03,4502,4441
HDFC,Finance,2025-02,3173,2952
JPM,Finance,2025-06,846,1347
MSFT,Tech,2025-06,624,869
TSLA,Auto,2025-02,1878,1861
WMT,Staples,2025-05,703,1263
BAJAJ-AUTO,Auto,2025-01,336,245
HDFC,Finance,2025-06,4414,4612
MSFT,Tech,2025-04,2493,2247
TCS,Tech,2025-04,4107,4520
TSLA,Auto,2025-01,139,491
AAPL,Tech,2025-03,3491,3314
BABA,Retail,2025-01,2860,3424
RELIANCE,Energy,2025-01,1320,1617
BAJAJ-AUTO,Auto,2025-01,336,245
AAPL,Tech,2025-02,4673,4693
TCS,Tech,2025-04,4107,4520
TCS,Tech,2025-04,4107,4520
TCS,Tech,2025-03,2916,3173
BABA,Retail,2025-02,94,439
TCS,Tech,2025-02,4893,5458
HDFC,Finance,2025-01,1412,1736
BAJAJ-AUTO,Auto,2025-05,4526,4648
BABA,Retail,2025-06,2753,2587
RELIANCE,Energy,2025-05,1576,1461
TSLA,Auto,2025-04,4223,4329
AAPL,Tech,2025-01,1339,1164
HDFC,Finance,2025-01,1412,1736
TSLA,Auto,2025-04,4223,4329
JPM,Finance,2025-02,680,451
TSLA,Auto,2025-02,1878,1861
RELIANCE,Energy,2025-02,2760,2983
TSLA,Auto,2025-01,139,491
BABA,Retail,2025-05,2388,2448
TSLA,Auto,2025-02,1878,1861
BABA,Retail,2025-06,2753,2587
RELIANCE,Energy,2025-01,1320,1617
AAPL,Tech,2025-01,1339,1164
RELIANCE,Energy,2025-05,1576,1461
TCS,Tech,2025-02,4893,5458
RELIANCE,Energy,2025-01,1320,1617
JPM,Finance,2025-05,1209,1624
BABA,Retail,2025-02,94,439
JPM,Finance,2025-02,680,451
TCS,Tech,2025-04,4107,4520
WMT,Staples,2025-06,1416,1914
RELIANCE,Energy,2025-04,4626,4388
JPM,Finance,2025-03,3466,3561
AAPL,Tech,2025-01,1339,1164
BABA,Retail,2025-04,1892,1956
BABA,Retail,2025-02,94,439
RELIANCE,Energy,2025-04,4626,4388
MSFT,Tech,2025-06,624,869
HDFC,Finance,2025-04,3175,3241
TCS,Tech,2025-05,964,1199
TSLA,Auto,2025-06,4541,4909
RELIANCE,Energy,2025-02,2760,2983
HDFC,Finance,2025-04,3175,3241
JPM,Finance,2025-06,846,1347
RELIANCE,Energy,2025-05,1576,1461
HDFC,Finance,2025-06,4414,4612
MSFT,Tech,2025-01,1147,1103
MSFT,Tech,2025-01,1147,1103
RELIANCE,Energy,2025-04,4626,4388
HDFC,Finance,2025-01,1412,1736
TCS,Tech,2025-02,4893,5458
BABA,Retail,2025-06,2753,2587
RELIANCE,Energy,2025-04,4626,4388
TSLA,Auto,2025-01,139,491
WMT,Staples,2025-05,703,1263
TSLA,Auto,2025-04,4223,4329
RELIANCE,Energy,2025-03,4926,5358
AAPL,Tech,2025-04,1230,1663
BAJAJ-AUTO,Auto,2025-04,4347,4803
TSLA,Auto,2025-04,4223,4329
RELIANCE,Energy,2025-03,4926,5358
BAJAJ-AUTO,Auto,2025-03,4817,4874
BABA,Retail,2025-03,2102,1873
AAPL,Tech,2025-01,1339,1164
TSLA,Auto,2025-06,4541,4909
AAPL,Tech,2025-06,2092,1800
TCS,Tech,2025-02,4893,5458
WMT,Staples,2025-03,4159,4614
AAPL,Tech,2025-01,1339,1164
TSLA,Auto,2025-05,2704,3164
TSLA,Auto,2025-01,139,491
JPM,Finance,2025-02,680,451
JPM,Finance,2025-01,3652,3816
MSFT,Tech,2025-03,4502,4441
RELIANCE,Energy,2025-04,4626,4388
JPM,Finance,2025-05,1209,1624
TCS,Tech,2025-02,4893,5458
RELIANCE,Energy,2025-02,2760,2983
BAJAJ-AUTO,Auto,2025-03,4817,4874
BAJAJ-AUTO,Auto,2025-04,4347,4803
BAJAJ-AUTO,Auto,2025-01,336,245
HDFC,Finance,2025-06,4414,4612
HDFC,Finance,2025-02,3173,2952
TCS,Tech,2025-01,3676,4125
TCS,Tech,2025-03,2916,3173
MSFT,Tech,2025-03,4502,4441
WMT,Staples,2025-04,459,541
HDFC,Finance,2025-01,1412,1736
AAPL,Tech,2025-03,3491,3314
HDFC,Finance,2025-03,4931,5321
BABA,Retail,2025-02,94,439
AAPL,Tech,2025-04,1230,1663
TCS,Tech,2025-05,964,1199
JPM,Finance,2025-04,1731,1861
BAJAJ-AUTO,Auto,2025-02,451,295
AAPL,Tech,2025-01,1339,1164
MSFT,Tech,2025-06,624,869
TSLA,Auto,2025-04,4223,4329
WMT,Staples,2025-04,459,541
TCS,Tech,2025-05,964,1199
BABA,Retail,2025-01,2860,3424
WMT,Staples,2025-05,703,1263
WMT,Staples,2025-04,459,541
TCS,Tech,2025-02,4893,5458
MSFT,Tech,2025-02,4186,4388
AAPL,Tech,2025-04,1230,1663
WMT,Staples,2025-04,459,541
TSLA,Auto,2025-04,4223,4329
RELIANCE,Energy,2025-05,1576,1461
MSFT,Tech,2025-04,2493,2247
TCS,Tech,2025-03,2916,3173
AAPL,Tech,2025-03,3491,3314
WMT,Staples,2025-06,1416,1914
BABA,Retail,2025-03,2102,1873
HDFC,Finance,2025-04,3175,3241
TSLA,Auto,2025-02,1878,1861
JPM,Finance,2025-05,1209,1624
RELIANCE,Energy,2025-04,4626,4388
WMT,Staples,2025-01,1024,1413
BAJAJ-AUTO,Auto,2025-02,451,295
MSFT,Tech,2025-03,4502,4441
WMT,Staples,2025-03,4159,4614
AAPL,Tech,2025-06,2092,1800
HDFC,Finance,2025-06,4414,4612
HDFC,Finance,2025-01,1412,1736
AAPL,Tech,2025-05,1570,2151
WMT,Staples,2025-05,703,1263
BABA,Retail,2025-05,2388,2448
HDFC,Finance,2025-04,3175,3241
JPM,Finance,2025-03,3466,3561
TSLA,Auto,2025-02,1878,1861
RELIANCE,Energy,2025-03,4926,5358
BAJAJ-AUTO,Auto,2025-01,336,245
HDFC,Finance,2025-06,4414,4612
BAJAJ-AUTO,Auto,2025-02,451,295
TSLA,Auto,2025-04,4223,4329
TCS,Tech,2025-04,4107,4520
TSLA,Auto,2025-05,2704,3164
AAPL,Tech,2025-05,1570,2151
HDFC,Finance,2025-03,4931,5321
HDFC,Finance,2025-03,4931,5321
WMT,Staples,2025-01,1024,1413
BABA,Retail,2025-02,94,439
TSLA,Auto,2025-03,3652,3445
HDFC,Finance,2025-03,4931,5321
JPM,Finance,2025-02,680,451
AAPL,Tech,2025-05,1570,2151
WMT,Staples,2025-01,1024,1413
BAJAJ-AUTO,Auto,2025-01,336,245
MSFT,Tech,2025-03,4502,4441
TCS,Tech,2025-01,3676,4125
JPM,Finance,2025-01,3652,3816
RELIANCE,Energy,2025-06,2462,2394
JPM,Finance,2025-03,3466,3561
RELIANCE,Energy,2025-04,4626,4388
TCS,Tech,2025-06,1589,2086
HDFC,Finance,2025-02,3173,2952
BABA,Retail,2025-06,2753,2587
TSLA,Auto,2025-01,139,491
HDFC,Finance,2025-03,4931,5321
TSLA,Auto,2025-03,3652,3445
BAJAJ-AUTO,Auto,2025-05,4526,4648
JPM,Finance,2025-01,3652,3816
JPM,Finance,2025-02,680,451
WMT,Staples,2025-04,459,541
AAPL,Tech,2025-02,4673,4693
MSFT,Tech,2025-05,3466,3529
TCS,Tech,2025-05,964,1199
MSFT,Tech,2025-01,1147,1103
WMT,Staples,2025-01,1024,1413
BABA,Retail,2025-04,1892,1956
BABA,Retail,2025-05,2388,2448
MSFT,Tech,2025-01,1147,1103
WMT,Staples,2025-05,703,1263
TCS,Tech,2025-05,964,1199
JPM,Finance,2025-02,680,451
BABA,Retail,2025-06,2753,2587
JPM,Finance,2025-05,1209,1624
MSFT,Tech,2025-01,1147,1103
TSLA,Auto,2025-01,139,491
TSLA,Auto,2025-02,1878,1861
AAPL,Tech,2025-03,3491,3314
TCS,Tech,2025-03,2916,3173
HDFC,Finance,2025-03,4931,5321
HDFC,Finance,2025-02,3173,2952
MSFT,Tech,2025-04,2493,2247
HDFC,Finance,2025-05,3538,3575
TSLA,Auto,2025-03,3652,3445
TCS,Tech,2025-01,3676,4125
AAPL,Tech,2025-02,4673,4693
MSFT,Tech,2025-02,4186,4388
MSFT,Tech,2025-02,4186,4388
BAJAJ-AUTO,Auto,2025-05,4526,4648
TCS,Tech,2025-02,4893,5458
AAPL,Tech,2025-04,1230,1663
RELIANCE,Energy,2025-03,4926,5358
AAPL,Tech,2025-05,1570,2151
HDFC,Finance,2025-04,3175,3241
RELIANCE,Energy,2025-05,1576,1461
BAJAJ-AUTO,Auto,2025-04,4347,4803
BABA,Retail,2025-06,2753,2587
JPM,Finance,2025-03,3466,3561
WMT,Staples,2025-03,4159,4614
BAJAJ-AUTO,Auto,2025-05,4526,4648
AAPL,Tech,2025-03,3491,3314
MSFT,Tech,2025-03,4502,4441
AAPL,Tech,2025-01,1339,1164
TSLA,Auto,2025-05,2704,3164
RELIANCE,Energy,2025-05,1576,1461
RELIANCE,Energy,2025-03,4926,5358
BAJAJ-AUTO,Auto,2025-06,2864,3098
WMT,Staples,2025-06,1416,1914
RELIANCE,Energy,2025-05,1576,1461
AAPL,Tech,2025-04,1230,1663
TCS,Tech,2025-03,2916,3173
WMT,Staples,2025-04,459,541
RELIANCE,Energy,2025-02,2760,2983
AAPL,Tech,2025-03,3491,3314
TSLA,Auto,2025-04,4223,4329
JPM,Finance,2025-01,3652,3816
WMT,Staples,2025-02,3176,2953
BAJAJ-AUTO,Auto,2025-02,451,295
HDFC,Finance,2025-01,1412,1736
TCS,Tech,2025-01,3676,4125
AAPL,Tech,2025-04,1230,1663
BABA,Retail,2025-03,2102,1873
TCS,Tech,2025-05,964,1199
WMT,Staples,2025-03,4159,4614
HDFC,Finance,2025-03,4931,5321
AAPL,Tech,2025-01,1339,1164
WMT,Staples,2025-06,1416,1914
RELIANCE,Energy,2025-06,2462,2394
RELIANCE,Energy,2025-01,1320,1617
MSFT,Tech,2025-02,4186,4388
WMT,Staples,2025-04,459,541
JPM,Finance,2025-06,846,1347
BABA,Retail,2025-06,2753,2587
HDFC,Finance,2025-05,3538,3575
HDFC,Finance,2025-06,4414,4612
HDFC,Finance,2025-01,1412,1736
HDFC,Finance,2025-02,3173,2952
MSFT,Tech,2025-02,4186,4388
TSLA,Auto,2025-04,4223,4329
TSLA,Auto,2025-02,1878,1861
BAJAJ-AUTO,Auto,2025-02,451,295
MSFT,Tech,2025-05,3466,3529
HDFC,Finance,2025-04,3175,3241
AAPL,Tech,2025-01,1339,1164
TCS,Tech,2025-02,4893,5458
BABA,Retail,2025-04,1892,1956
MSFT,Tech,2025-04,2493,2247
BAJAJ-AUTO,Auto,2025-06,2864,3098
BABA,Retail,2025-04,1892,1956
MSFT,Tech,2025-05,3466,3529
JPM,Finance,2025-06,846,1347
JPM,Finance,2025-03,3466,3561
MSFT,Tech,2025-02,4186,4388
MSFT,Tech,2025-02,4186,4388
RELIANCE,Energy,2025-06,2462,2394
TSLA,Auto,2025-04,4223,4329
WMT,Staples,2025-06,1416,1914
WMT,Staples,2025-06,1416,1914
AAPL,Tech,2025-04,1230,1663
BABA,Retail,2025-04,1892,1956
BAJAJ-AUTO,Auto,2025-06,2864,3098
RELIANCE,Energy,2025-02,2760,2983
HDFC,Finance,2025-03,4931,5321
WMT,Staples,2025-01,1024,1413
TCS,Tech,2025-02,4893,5458
TCS,Tech,2025-02,4893,5458
RELIANCE,Energy,2025-04,4626,4388
BABA,Retail,2025-05,2388,2448
WMT,Staples,2025-06,1416,1914
TCS,Tech,2025-03,2916,3173
TCS,Tech,2025-05,964,1199
AAPL,Tech,2025-03,3491,3314
TSLA,Auto,2025-01,139,491
JPM,Finance,2025-05,1209,1624
TSLA,Auto,2025-03,3652,3445
JPM,Finance,2025-05,1209,1624
HDFC,Finance,2025-03,4931,5321
WMT,Staples,2025-02,3176,2953
MSFT,Tech,2025-01,1147,1103
AAPL,Tech,2025-02,4673,4693
MSFT,Tech,2025-01,1147,1103
MSFT,Tech,2025-06,624,869
BABA,Retail,2025-02,94,439
MSFT,Tech,2025-03,4502,4441
HDFC,Finance,2025-06,4414,4612
BABA,Retail,2025-06,2753,2587
BABA,Retail,2025-05,2388,2448
RELIANCE,Energy,2025-05,1576,1461
BABA,Retail,2025-02,94,439
